affiliated_store_id,store_name,store_status,store_parent_categories,child_categories,network,store_website,store_logo,description,CampaignId,start_date,modified_date,shareSale_linkurl
20080,Abaco Polarized,Active,Accessories,,shareSale,www.abacopolarized.com,,NULL,NULL,17-07-2022 22:32,NULL,https://www.shareasale.com/r.cfm?b=152901&u=3010363&m=20080
23080,Art of Tea,Active,Food/Drink,,shareSale,www.artoftea.com,,NULL,NULL,17-07-2022 22:32,NULL,https://www.shareasale.com/r.cfm?b=183048&u=3010363&m=23080
27682,BAGINC : BGLAMOUR LIMITED,Active,Accessories,,shareSale,www.baginc.com,,NULL,NULL,17-07-2022 22:32,NULL,https://www.shareasale.com/r.cfm?b=235830&u=3010363&m=27682
24903,BODYJEWELRY.COM,Active,Accessories,,shareSale,WWW.BODYJEWELRY.COM,,NULL,NULL,17-07-2022 22:32,NULL,https://www.shareasale.com/r.cfm?b=202590&u=3010363&m=24903
44705,Bing Bang Nyc,Active,Accessories,,shareSale,bingbangnyc.com,,NULL,NULL,17-07-2022 22:32,NULL,https://www.shareasale.com/r.cfm?b=435265&u=3010363&m=44705
38577,Blacksocks.com,Active,Clothing,,shareSale,blacksocks.com,,NULL,NULL,17-07-2022 22:32,NULL,https://www.shareasale.com/r.cfm?b=369137&u=3010363&m=38577
26388,Black Bow Jewelry Co.,Active,Accessories,,shareSale,www.theblackbow.com,,NULL,NULL,17-07-2022 22:32,NULL,https://www.shareasale.com/r.cfm?b=219484&u=3010363&m=26388
24631,California Tea House,Active,Food/Drink,,shareSale,www.CaliforniaTeaHouse.com,,NULL,NULL,17-07-2022 22:32,NULL,https://www.shareasale.com/r.cfm?b=199286&u=3010363&m=24631
50329,Cheap Little Cigars,Active,Food/Drink,,shareSale,www.cheaplittlecigars.com,,NULL,NULL,17-07-2022 22:32,NULL,https://www.shareasale.com/r.cfm?b=535078&u=3010363&m=50329
31374,Cents of Style,Active,Accessories,,shareSale,www.mycentsofstyle.com/,,NULL,NULL,17-07-2022 22:32,NULL,https://www.shareasale.com/r.cfm?b=286192&u=3010363&m=31374
31825,Cincy Shirts,Active,Clothing,,shareSale,www.fluffycrate.com,,NULL,NULL,17-07-2022 22:32,NULL,https://www.shareasale.com/r.cfm?b=293589&u=3010363&m=31825
42816,Cross Country Cafe,Active,Food/Drink,,shareSale,www.crosscountrycafe.com,,NULL,NULL,17-07-2022 22:32,NULL,https://www.shareasale.com/r.cfm?b=402932&u=3010363&m=42816
